TYPE_NAME=report_template;KEYS=name;;
name;description;constructor;type
file-verification-sheet;Лист-заверитель дела;jasper;table
file-documents-internal-inventory;Внутренняя опись документов дела;jasper;table
changes-ndp;Изменения к номенклатуре дел подразделения;jasper;table
file-title-page;Титульный лист Дела;jasper;table
org-register-with-one-approval-mark;Номенклатура дел организации с одной отметкой согласования (ЭК);jasper;table
org-register-with-two-approval-marks;Номенклатура дел организации с двумя отметками согласования (ЭК и ЭПК);jasper;table
unit-register;Номенклатура дел подразделения;jasper;table
unit-register-final-note;Итоговая запись к Номенклатуре дел подразделения;jasper;table
unload-frfile-from-ndp-to-xlsx;Выгрузка дел НДП в xlsx;jasper;table
unload-ndp-from-ndo-to-xlsx;Выгрузка разделов НДО в xlsx;jasper;table
change-for-ndo;Изменения к сводной номенклатуре дел;jasper;table
extract-from-ndo-main;Выписка из сводной Номенклатуры дел;jasper;table
final-record-to-ndo;Итоговая запись к сводной номенклатуре дел;jasper;table
internal-document-card;Печатная карточка внутреннего документа;jasper;table
input-document-card;Печатная карточка входящего документа;jasper;table
input-document-list;Список входящих документов;jasper;table
expired-resolutions;Перечень просроченных контрольных поручений;jasper;table
reg_of_citizens;Реестр обращений граждан, поступивших за период;jasper;table
standart-form;Стандартная форма;jasper;table
unexecuted-control-documents;Перечень документов с неисполненными контрольными резолюциями;jasper;table
contract-journal;Журнал договоров;jasper;table
report-results-search;Отчет по результатам поиска;jasper;table
report-results-search-excel;Отчет по результатам поиска(Excel);jasper;table
print-res-on-blank;Печать резолюции по бланку;jasper;table
print-res-on-form;Печать резолюции по форме;jasper;table
executive-discipline;Анализ исполнительской дисциплины;jasper;table
ord-journal;Журнал учета ОРД;jasper;table
resolutions-on-control;Перечень заданий, стоящих на контроле;jasper;table
execution-documents-list;Перечень контрольных входящих документов, находящихся на исполнении;jasper;table
internal-correspondence-book;Журнал учета внутренней переписки;jasper;table
unexecuted-control-resolutions;Сводка неисполненных контрольных поручений;jasper;table
outgoing-correspondence-book;Журнал учета исходящей корреспонденции;jasper;table
ord-list;Список ОРД;jasper;table
input-documents-period;Журнал входящих документов;jasper;table
list-of-incom-docs;Список входящих документов;jasper;table
resolution;Резолюция;jasper;table
inputPrintForm;РКК Входящего документа;jasper;table
internPrintForm;Печатная форма;jasper;table
dogPrintForm;Печатная форма;jasper;table
ordPrintForm;Печатная форма;jasper;table
ordBlankPrintForm;Бланк "Приказа";jasper;table
requestPrintForm;Печатная форма;jasper;table
addAgrPrintForm;Печатная форма;jasper;table
dogDocPrintForm;Печатная форма;jasper;table
finDocPrintForm;Печатная форма;jasper;table
request-review-results;Отчёт по результатам рассмотрения ОГ;jasper;table
acts-number-dynamic;Количество правовых актов(динамика);jasper;table
input-rkk-barcode;Штрихкод для Вх. РКК;jasper;table
internal-rkk-barcode;Штрихкод для Вн. РКК;jasper;table
ord-rkk-barcode;Штрихкод для ОРД РКК;jasper;table
request-rkk-barcode;Штрихкод для ОГ РКК;jasper;table
contract-rkk-barcode;Штрихкод для Договор РКК;jasper;table
execution-input;Отчёт по исполнению Входящих документов;jasper;table
execution-internal-ord;Отчет по исполнению внутренних и распорядительных документов;jasper;table
execution-input-new;Отчёт по исполнению Входящих документов (Новый);jasper;table
execution-internal-ord-new;Отчет по исполнению внутренних и распорядительных документов (Новый);jasper;table
acts-number-dynamic-volume;Количество правовых актов(объём);jasper;table
print-res-template-on-form;Печать проекта резолюции по форме;jasper;table
graphic-resolution-typical;Подложка для графической резолюции;jasper;table
iDocsStorageResolutionMSO;Подложка для графической резолюции (расш);jasper;table
reg-docs-count-cert;Справка по количеству зарегистрированных документов;jasper;table
visa-report;Отчёт по согласованию документов;jasper;table
printFormsBullet;Результат голосования;jasper;table
printFormsPoint;Вопрос;jasper;table
printFormsExtract;Выписка;jasper;table
printFormsAgenda;Повестка;jasper;table
printFormsMinutes;Протокол;jasper;table
printFormsDecisionProject;Проект решения;jasper;table
printFormsDecision;Решение;jasper;table
apr-list;Лист результатов согласования без WF;jasper;table
apr-all-list;Сводный лист результатов согласования без WF;jasper;table
rev-list;Лист результатов ознакомления без WF;jasper;table
print-stamp-lable;Печать штампа - наклейка;jasper;table
print-stamp-left;Печать штампа - левый;jasper;table
print-stamp-right;Печать штампа - правый;jasper;table
print-res-on-blank-req;Печать резолюции ОГ по бланку;jasper;table
document-approval-report;Отчет по согласованию документов;jasper;table
inventory-files-list-doc;Перечень документов в деле (Doc);jasper;table
inventory-files-list-excel;Перечень документов в деле (Excel);jasper;table
output-registry;Реестр исходящих;jasper;table
apr-list-meetings;Лист согласования по модулю Заседания;jasper;table
apr-all-list-meetings;Сводный лист результатов согласования по модулю Заседания;jasper;table
print-notices-docx;Печать уведомлений и задач (DOCX);jasper;table
print-notices-xlsx;Печать уведомлений и задач (XLSX);jasper;table
apr-comments-reg-list;Лист учета замечаний;jasper;table
print-view-form;Печать представления;jasper;table
print-search-result-form;Печать результатов поиска;jasper;table
printable-resolution;Печатная форма поручения/резолюции;docx;printform
unexecuted-control-documents;Перечень документов с неисполненными контрольными резолюциями;jasper;table
requests-printform;РКК ОГ;docx;printform
contracts-printform;РКК Договора;docx;printform
internal-print-form-eight;РКК Внутреннего документа;docx;printform
internal-print-form-eight-one-level;РКК Внутреннего документа_резолюция первого уровня;docx;printform
internal-registration;Журнал регистрации внутренних документов;jasper;table
barcode-print-form;Штрихкод;jasper;printform
barcode-extended-print-form;Штрихкод с доп. реквизитами;jasper;printform
report-register-incoming-doc;Журнал регистрации входящих документов;jasper;table
report-notregistered-incoming-doc;Реестр входящих документов, не подлежащих регистрации;jasper;table
report-exec-incoming-correspondence;Отчет по корреспонденту и направлению на исполнение входящей корреспонденции;jasper;table
missions-printform;РКК ОРД;docx;printform
outputPrintForm;РКК Исходящего документа;jasper;table
ninput-printform;Карточка Нерегистрируемого документа;docx;printform
dtrPrintForm;Реестр передачи документов;jasper;table
expedition-output-register-for-send-pochta-ru;Реестр исходящих документов, подлежащих отправке по Почте России (Экспедиция);jasper;table
expedition-output-register-for-send-zakaznoe-pochta-ru;Реестр исходящих документов, подлежащих отправке по Почте России посредством сервиса ЭЗП (Экспедиция);jasper;table
missions-printform-one-level;РКК ОРД_поручение первого уровня;docx;printform
(ResolutionInfo);Атрибуты резолюции;jasper;table
joborders-printform;РКК Заказ на исполнение;jasper